"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"PINS","Pinterest, Inc. Class A","Common stocks","Large cap","Communication Services","$35,365,966,316","0.00%","USA","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$35,199,289,900","1.34%","USA","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$35,000,386,220","3.51%","USA","Analyze"
"TTD","Trade Desk Inc Class A","Common stocks","Large cap","Information Technology","$34,981,335,773","0.00%","USA","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$34,944,041,520","0.41%","USA","Analyze"
"U","Unity Software Inc.","Common stocks","Large cap","Information Technology","$34,893,871,915","0.00%","USA","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$34,801,809,257","1.71%","USA","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$34,740,309,002","2.59%","USA","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$34,729,517,925","0.82%","USA","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$34,508,801,029","2.27%","USA","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$34,414,941,060","4.17%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$34,171,398,251","0.00%","USA","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$33,991,860,214","1.64%","USA","Analyze"
"LBRDA","Liberty Broadband Corp Series A","Common stocks","Large cap","Communication Services","$33,855,972,495","0.00%","USA","Analyze"
"LBRDK","Liberty Broadband Corp Series C","Common stocks","Large cap","Communication Services","$33,855,972,495","0.00%","USA","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$33,840,586,803","2.41%","USA","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$33,821,722,827","1.41%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$33,559,445,852","0.24%","USA","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$33,549,692,980","0.00%","USA","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$33,546,790,010","0.00%","USA","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$33,361,833,024","0.00%","USA","Analyze"
"LEN.B","Lennar Corporation Class B","Common stocks","Large cap","Consumer Discretionary","$33,099,066,475","0.85%","USA","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$33,099,066,475","0.92%","USA","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$33,065,692,726","0.15%","USA","Analyze"
"HUBS","Hubspot Inc","Common stocks","Large cap","Information Technology","$33,023,614,965","0.00%","USA","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$33,015,871,624","0.00%","USA","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$33,003,978,040","1.01%","USA","Analyze"
"BF.A","Brown Forman Inc Class A","Common stocks","Large cap","Consumer Staples","$33,003,978,040","1.07%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$32,856,318,762","0.00%","USA","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$32,725,493,273","1.27%","USA","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$32,513,495,740","0.44%","USA","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$32,442,880,710","3.08%","USA","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$32,436,293,300","1.19%","USA","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$32,421,642,818","0.00%","USA","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$32,385,473,588","2.19%","USA","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$32,350,599,350","1.03%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$32,325,841,646","0.00%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$32,192,645,575","0.56%","USA","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$32,103,114,950","0.00%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$31,995,742,008","1.94%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$31,848,915,945","0.00%","USA","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$31,802,410,915","4.87%","USA","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$31,638,176,904","0.55%","USA","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$31,622,789,684","1.44%","USA","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$31,500,334,294","2.78%","USA","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$31,441,651,906","1.56%","USA","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$31,398,808,477","0.00%","USA","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$31,340,693,235","0.64%","USA","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$31,219,178,495","2.11%","USA","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$31,211,019,039","2.86%","USA","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$31,108,149,720","0.83%","USA","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$30,989,748,736","2.57%","USA","Analyze"
"BLL","Ball Corp","Common stocks","Large cap","Materials","$30,822,214,388","0.63%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$30,348,493,945","0.00%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$30,295,837,592","1.12%","USA","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$30,102,875,060","0.00%","USA","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$30,066,256,526","2.52%","USA","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$29,900,136,782","6.43%","USA","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$29,780,174,072","2.79%","USA","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$29,722,380,000","1.29%","USA","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$29,595,869,076","1.68%","USA","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$29,430,576,678","2.11%","USA","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$29,127,752,772","0.00%","USA","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","Common stocks","Large cap","Communication Services","$29,088,767,599","0.09%","USA","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","Common stocks","Large cap","Communication Services","$29,088,767,599","0.09%","USA","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","Common stocks","Large cap","Communication Services","$29,088,767,599","0.00%","USA","Analyze"
"FWONA","Liberty Media Formula One Corp Series A","Common stocks","Large cap","Communication Services","$29,088,767,599","0.00%","USA","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$28,970,128,000","0.00%","USA","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$28,604,563,780","0.00%","USA","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$28,588,317,360","2.22%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$28,555,011,492","1.59%","USA","Analyze"
"WLTW","Willis Towers Watson PLC","Common stocks","Large cap","Financials","$28,298,854,021","1.28%","USA","Analyze"
"PTON","Peloton Interactive, Inc. Class A","Common stocks","Large cap","Consumer Discretionary","$28,040,786,731","0.00%","USA","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$27,860,731,863","3.86%","USA","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$27,676,186,026","0.65%","USA","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$27,590,684,369","0.00%","USA","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$27,436,140,387","5.72%","USA","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$27,395,971,202","0.80%","USA","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$27,255,743,053","2.71%","USA","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$26,954,734,800","1.41%","USA","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$26,882,156,890","0.00%","USA","Analyze"
"KSU","Kansas City Southern","Common stocks","Large cap","Industrials","$26,785,454,961","0.65%","USA","Analyze"
"BILL","Bill.com Holdings, Inc.","Common stocks","Large cap","Information Technology","$26,748,025,368","0.00%","USA","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$26,729,799,957","4.03%","USA","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$26,631,758,089","0.00%","USA","Analyze"
"VIACA","ViacomCBS Inc. - Class A","Common stocks","Large cap","Communication Services","$26,623,905,711","2.10%","USA","Analyze"
"VIAC","ViacomCBS Inc. - Class B","Common stocks","Large cap","Communication Services","$26,623,905,711","2.33%","USA","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$26,569,265,735","0.01%","USA","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$26,546,014,185","0.28%","USA","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$25,747,084,634","0.00%","USA","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$25,714,425,176","0.00%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$25,418,667,341","0.00%","USA","Analyze"
"YUMC","Yum China Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$25,404,589,386","0.40%","China","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$25,315,223,900","0.93%","USA","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$25,222,020,102","1.72%","USA","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$25,134,139,292","0.85%","USA","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$24,996,380,583","0.00%","USA","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$24,936,880,659","0.77%","USA","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$24,911,597,337","1.46%","USA","Analyze"
"MDB","MongoDB, Inc. Class A","Common stocks","Large cap","Information Technology","$24,583,241,005","0.00%","USA","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$24,546,953,221","2.05%","USA","Analyze"
"Z","Zillow Group Inc Class C","Common stocks","Large cap","Communication Services","$24,508,470,948","0.00%","USA","Analyze"
"ZG","Zillow Group Inc Class A","Common stocks","Large cap","Communication Services","$24,508,470,948","0.00%","USA","Analyze"
"HZNP","Horizon Pharma Plc","Common stocks","Large cap","Health Care","$24,448,439,976","0.00%","USA","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$24,350,004,778","2.14%","USA","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$24,311,194,410","0.81%","USA","Analyze"
"ALNY","Alnylam Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$24,236,610,033","0.00%","USA","Analyze"
"DKNG","DraftKings Inc. - Class A","Common stocks","Large cap","Consumer Discretionary","$24,201,924,982","0.00%","USA","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$24,082,539,576","0.00%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$24,014,966,432","0.00%","USA","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$23,994,383,933","6.76%","USA","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$23,974,728,323","0.59%","USA","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$23,959,630,785","0.16%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$23,882,986,800","3.08%","USA","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$23,820,845,148","0.01%","USA","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$23,671,118,162","1.96%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$23,557,363,088","0.00%","USA","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$23,500,885,340","3.37%","USA","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$23,441,982,873","0.00%","USA","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$23,376,124,990","2.97%","USA","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$23,347,656,351","1.62%","USA","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$23,108,123,717","3.78%","USA","Analyze"
"SUI","Sun Communities, Inc","REITs","Large cap","Real Estate","$23,042,724,337","1.62%","USA","Analyze"
"AVTR","Avantor, Inc.","Common stocks","Large cap","Health Care","$22,945,930,850","0.00%","USA","Analyze"
"TRU","TransUnion","Common stocks","Large cap","Industrials","$22,909,145,000","0.28%","USA","Analyze"
"LNG","Cheniere Energy Inc","Common stocks","Large cap","Energy","$22,748,540,545","0.00%","USA","Analyze"
"TDOC","Teladoc Inc","Common stocks","Large cap","Health Care","$22,745,424,405","0.00%","USA","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$22,730,816,502","1.55%","USA","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$22,728,563,200","0.44%","USA","Analyze"
"CERN","Cerner Corp","Common stocks","Large cap","Health Care","$22,712,813,640","1.09%","USA","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Large cap","Communication Services","$22,696,597,605","0.00%","USA","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$22,634,093,199","2.37%","USA","Analyze"
"W","Wayfair Inc Class A","Common stocks","Large cap","Consumer Discretionary","$22,514,222,550","0.00%","USA","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$22,502,894,483","1.45%","USA","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$22,487,882,207","5.56%","USA","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$22,462,711,739","0.00%","USA","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$22,444,614,471","3.36%","USA","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Large cap","Consumer Discretionary","$22,247,903,485","0.00%","USA","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$22,205,181,444","4.01%","USA","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$22,118,850,657","0.00%","USA","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$22,010,724,659","0.00%","USA","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$21,998,697,963","1.01%","USA","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$21,844,417,086","4.49%","USA","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$21,743,998,442","2.13%","USA","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$21,630,655,697","1.42%","USA","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$21,629,058,853","0.00%","USA","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$21,570,820,209","3.57%","USA","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Industrials","$21,387,321,488","0.00%","USA","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$21,320,786,399","0.00%","USA","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$21,309,507,387","0.56%","USA","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$21,205,839,758","0.00%","USA","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$21,198,023,254","0.00%","USA","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$21,163,341,552","0.88%","USA","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$21,048,880,282","0.00%","USA","Analyze"
"AGR","Avangrid Inc","Common stocks","Large cap","Utilities","$21,040,695,573","3.20%","USA","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$21,028,695,113","3.22%","USA","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$20,989,548,579","3.98%","USA","Analyze"
"RNG","Ringcentral Inc Class A","Common stocks","Large cap","Information Technology","$20,960,847,129","0.00%","USA","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$20,875,057,932","0.02%","USA","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$20,860,565,976","2.57%","USA","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$20,710,826,660","1.33%","USA","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$20,710,826,660","1.23%","USA","Analyze"
"BURL","Burlington Stores Inc","Common stocks","Large cap","Consumer Discretionary","$20,653,227,056","0.00%","USA","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$20,625,948,866","0.00%","USA","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$20,553,720,000","1.44%","USA","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$20,506,798,994","0.15%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$20,442,239,683","0.00%","USA","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$20,384,250,955","0.33%","USA","Analyze"
"PODD","Insulet Corp","Common stocks","Large cap","Health Care","$20,323,990,003","0.00%","USA","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$20,308,878,651","1.20%","USA","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$20,246,963,545","2.70%","USA","Analyze"
"UI","Ubiquiti Inc.","Common stocks","Large cap","Information Technology","$20,217,982,736","0.37%","USA","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$20,137,402,682","3.07%","USA","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$20,073,666,335","0.00%","USA","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$20,051,150,148","1.96%","USA","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$19,978,571,431","3.50%","USA","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$19,968,962,302","2.93%","USA","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$19,949,458,619","1.73%","USA","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$19,932,161,204","1.33%","USA","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$19,659,726,942","3.60%","United Kingdom","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$19,617,101,382","1.07%","USA","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$19,589,215,601","0.00%","USA","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$19,502,736,323","2.22%","USA","Analyze"
"SSNC","SS&C Technologies Holdings, Inc.","Common stocks","Large cap","Information Technology","$19,460,790,173","0.78%","USA","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$19,448,405,587","0.00%","USA","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$19,380,080,511","0.00%","USA","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$19,344,762,600","0.26%","USA","Analyze"
"ALLY","Ally Financial Inc","Common stocks","Large cap","Financials","$19,303,404,545","1.52%","USA","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$19,284,888,232","0.57%","USA","Analyze"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$19,140,241,392","2.00%","USA","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$19,133,377,206","3.53%","USA","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$19,062,959,997","3.44%","USA","Analyze"
"DT","Dynatrace, Inc.","Common stocks","Large cap","Information Technology","$19,038,656,659","0.00%","USA","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$19,030,238,213","0.00%","USA","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$18,981,757,080","0.76%","USA","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$18,888,999,326","0.64%","USA","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$18,864,564,985","0.67%","USA","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Large cap","Consumer Discretionary","$18,831,269,044","0.61%","USA","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$18,743,159,811","0.83%","USA","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$18,646,428,510","0.00%","USA","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$18,584,215,910","2.64%","USA","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$18,412,870,570","0.53%","USA","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$18,324,349,845","0.00%","USA","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$18,299,761,889","0.87%","USA","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$18,295,413,301","3.06%","USA","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$18,283,006,909","3.31%","USA","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$18,269,508,160","0.00%","USA","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$18,222,038,397","1.58%","USA","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$18,169,137,794","0.35%","USA","Analyze"
"EXAS","Exact Sciences Corp","Common stocks","Large cap","Health Care","$17,863,757,611","0.00%","USA","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$17,806,249,581","1.65%","USA","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,724,063,176","0.60%","USA","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$17,709,657,626","2.57%","USA","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$17,661,172,340","3.42%","USA","Analyze"
"COUP","Coupa Software Inc","Common stocks","Large cap","Information Technology","$17,582,110,489","0.00%","USA","Analyze"
"BSY","Bentley Systems, Inc Class B","Common stocks","Large cap","Information Technology","$17,570,646,265","0.14%","USA","Analyze"
"MKL","Markel Corp","Common stocks","Large cap","Financials","$17,468,985,262","0.00%","USA","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$17,377,503,910","1.53%","USA","Analyze"
"UPST","Upstart Holdings, Inc.","Common stocks","Large cap","Financials","$17,356,134,581","0.00%","USA","Analyze"
"NUAN","Nuance Communications Inc","Common stocks","Large cap","Information Technology","$17,314,423,273","0.00%","USA","Analyze"
"CG","Carlyle Group","Common stocks","Large cap","Financials","$17,145,334,099","1.54%","USA","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$17,122,379,816","0.92%","USA","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$17,033,871,942","0.53%","USA","Analyze"
"NVAX","Novavax Inc","Common stocks","Large cap","Health Care","$16,883,325,907","0.00%","USA","Analyze"
"RPRX","Royalty Pharma plc - Class A","Common stocks","Large cap","Health Care","$16,734,360,751","2.05%","USA","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$16,712,813,158","0.00%","USA","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Large cap","Information Technology","$16,597,186,819","0.00%","USA","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$16,564,016,821","3.32%","USA","Analyze"
"VMW","VMWare Inc Class A","Common stocks","Large cap","Information Technology","$16,553,061,402","0.00%","USA","Analyze"
"ACGL","Arch Capital Group Ltd","Common stocks","Large cap","Financials","$16,534,629,586","0.00%","USA","Analyze"
"HEI","Heico Corp","Common stocks","Large cap","Industrials","$16,412,353,132","0.13%","USA","Analyze"
"HEI.A","Heico Corporation Class A","Common stocks","Large cap","Industrials","$16,412,353,132","0.15%","USA","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$16,390,609,951","4.25%","USA","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$16,375,453,505","0.48%","USA","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$16,337,416,123","0.11%","USA","Analyze"
"ENTG","Entegris Inc","Common stocks","Large cap","Information Technology","$16,281,185,942","0.27%","USA","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$16,270,174,937","0.00%","USA","Analyze"
"PPD","PPD, Inc.","Common stocks","Large cap","Health Care","$16,251,846,888","0.00%","USA","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$16,119,242,086","2.44%","USA","Analyze"
"CLVT","Clarivate Plc","Common stocks","Large cap","Industrials","$16,042,795,327","0.00%","USA","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$15,875,024,158","3.40%","USA","Analyze"
"LYFT","Lyft, Inc. - Class A","Common stocks","Large cap","Industrials","$15,797,965,515","0.00%","USA","Analyze"
"CVNA","Carvana Class A","Common stocks","Large cap","Consumer Discretionary","$15,795,936,000","0.00%","USA","Analyze"
"CGNX","Cognex Corp","Common stocks","Large cap","Information Technology","$15,756,977,814","0.27%","USA","Analyze"
"ELAN","Elanco Animal Health Incorporated","Common stocks","Large cap","Health Care","$15,756,266,787","0.00%","USA","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$15,694,416,000","0.00%","USA","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$15,692,500,222","3.64%","USA","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$15,676,483,258","2.70%","USA","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$15,663,335,177","3.09%","USA","Analyze"
